Country/Region;Population;Area;Comments;Map Chart Country/Region;First Case;Lockdown Start;Testing Start;US Electors;US Electors per 1M inh;US Voting Power NY=100
American Samoa;55191;200;;American Samoa;;;;;;
Northern Mariana Islands;57559;460;;Northern Mariana Islands;;;;;;
US;331002651;9147420;;US;;;;;;
US Alabama;4903185;131171;;Alabama;;;;9;1.8355415918;123.1304149136
US Alaska;731545;1477953;;Alaska;;;;3;4.1009097185;275.0941288407
US Arizona;7278717;294207;;Arizona;;;;11;1.511255349;101.3768900623
US Arkansas;3017804;134771;;Arkansas;;;;6;1.9882006916;133.3709773615
US California;39512223;403466;;California;;;;55;1.3919743265;93.3753705915
US Colorado;5758736;268431;;Colorado;;;;9;1.5628429572;104.8374510393
US Connecticut;3565287;12542;;Connecticut;;;;7;1.9633763004;131.7057262972
US Delaware;973764;5047;;Delaware;;;;3;3.0808286197;206.6658189076
US District of Columbia;705749;158;;District of Columbia;;;;3;4.2508030475;285.149159946
US Florida;21477737;138887;;Florida;;;;29;1.3502353623;90.5754689146
US Georgia;10617423;148959;;Georgia;;;;16;1.5069570083;101.0885520188
US Guam;162742;543;;Guam;;;;0;0;0
US Hawaii;1415872;16635;;Hawaii;;;;4;2.8251141346;189.5121729297
US Idaho;1787065;214045;;Idaho;;;;4;2.2383069446;150.1484161518
US Illinois;12671821;143793;;Illinois;;;;20;1.5783051228;105.8746723578
US Indiana;6732219;92789;;Indiana;;;;11;1.6339337743;109.606311545
US Iowa;3155070;144669;;Iowa;;;;6;1.9017010716;127.5684751735
US Kansas;2913314;211754;;Kansas;;;;6;2.0595102347;138.1545102813
US Kentucky;4467673;102269;;Kentucky;;;;8;1.7906413473;120.1184506164
US Louisiana;4648794;111898;;Louisiana;;;;8;1.7208764252;115.4385327938
US Maine;1344212;79883;;Maine;;;;4;2.9757210916;199.6150750851
US Maryland;6045680;25142;;Maryland;;;;10;1.6540736526;110.9573196524
US Massachusetts;6892503;20202;;Massachusetts;;;;11;1.5959369187;107.0574351732
US Michigan;9986857;146435;;Michigan;;;;16;1.6021056475;107.4712411764
US Minnesota;5639632;206232;;Minnesota;;;;10;1.7731653413;118.9461383785
US Mississippi;2976149;121531;;Mississippi;;;;6;2.0160280954;135.2376742446
US Missouri;6137428;178040;;Missouri;;;;10;1.6293470164;109.2986261144
US Montana;1068778;376962;;Montana;;;;3;2.8069440052;188.2932980308
US Nebraska;1934408;198974;;Nebraska;;;;5;2.5847701209;173.3895973021
US Nevada;3080156;284332;;Nevada;;;;6;1.9479532855;130.6711312562
US New Hampshire;1359711;23187;;New Hampshire;;;;4;2.9418016034;197.3397135938
US New Jersey;8882190;19047;;New Jersey;;;;14;1.5761878546;105.7326433668
US New Mexico;2096829;314161;;New Mexico;;;;5;2.3845530561;159.9587873584
US New York;19453561;122057;;New York;;;;29;1.4907296407;100
US North Carolina;10488084;125920;;North Carolina;;;;15;1.430194495;95.9392270708
US North Dakota;762062;178711;;North Dakota;;;;3;3.9366875661;264.0779024315
US Ohio;11689100;105829;;Ohio;;;;18;1.5398961426;103.2981501481
US Oklahoma;3956971;177660;;Oklahoma;;;;7;1.7690298969;118.6687276184
US Oregon;4217737;248608;;Oregon;;;;7;1.6596577738;111.331909456
US Pennsylvania;12801989;115883;;Pennsylvania;;;;20;1.5622572399;104.7981603915
US Puerto Rico;3193694;8868;;Puerto Rico;;;;0;0;0
US Rhode Island;1059361;2678;;Rhode Island;;;;4;3.7758611087;253.2894634693
US South Carolina;5148714;77857;;South Carolina;;;;9;1.7480093087;117.2586404
US South Dakota;884659;196350;;South Dakota;;;;3;3.39113715;227.4817014044
US Tennessee;6829174;106798;;Tennessee;;;;11;1.6107365254;108.050211212
US Texas;28995881;676587;;Texas;;;;38;1.3105309682;87.9120487302
US Utah;3205958;212818;;Utah;;;;6;1.8715154721;125.5435875846
US Vermont;623989;23871;;Vermont;;;;3;4.8077770602;322.5116700499
US Virgin Islands;104425;350;;Virgin Islands;;;;0;0;0
US Virgin Islands;104425;350;;Virgin Islands;;;;0;0;0
US Virginia;8535519;102279;;Virginia;;;;13;1.5230473976;102.1679153615
US Washington;7614893;172119;;Washington;;;;12;1.5758593062;105.7106039351
US West Virginia;1792147;62259;;West Virginia;;;;5;2.7899497084;187.1532994436
US Wisconsin;5822434;140268;;Wisconsin;;;;10;1.7174947797;115.2116878055
US Wyoming;578759;251470;;Wyoming;;;;3;5.1835047058;347.7159482319
