Name;ISIN;Letzter;Vortag;Tief;Hoch;+/-;%;Zeit Datum;3-Mon.;3-Mon-%;6-Mon.;6-Mon-%;1-Jahr;1-Jahr-%;1 Jahr Chart;Produkte (Anzeige)
ABB (Asea Brown Boveri;CH0012221716;31.03;30.95;30.9;31.18;0.08;0.26;17:30:23 14.06.2021;2.96;10.44;7.27;30.25;10.63;51.43;;Long Short
Alcon;CH0432492467;63.84;63.32;63.36;64.22;0.52;0.82;17:30:23 14.06.2021;-2.06;-3.20;5.22;9.15;3.32;5.63;;Long Short
Credit Suisse (CS;CH0012138530;9.57;9.6;9.51;9.62;-0.03;-0.29;17:30:23 14.06.2021;-3.22;-24.81;-1.86;-16.01;-0.42;-4.13;;Long Short
Geberit;CH0030170408;669.6;666.2;665.6;669.6;3.40;0.51;17:30:23 14.06.2021;91.4;15.90;139.2;26.40;194.4;41.19;;Long Short
Givaudan;CH0010645932;4230;4228;4212;4253;2.00;0.05;17:30:23 14.06.2021;611;17.49;491;13.59;766;22.95;;Long Short
LafargeHolcim;CH0012214059;56.56;56.6;56.46;57.08;-0.04;-0.07;17:30:23 14.06.2021;1.06;1.97;7.18;15.10;11.88;27.72;;Long Short
Lonza;CH0013841017;664.6;661.6;661.2;667;3.00;0.45;17:30:23 14.06.2021;79.2;14.53;79.2;14.53;155.3;33.12;;Long Short
Nestlé;CH0038863350;113.82;113.82;113.18;114.16;0.00;0.00;17:30:23 14.06.2021;13.02;12.97;13.38;13.38;8.04;7.63;;Long Short
Novartis;CH0012005267;83.84;83.32;83.49;84.14;0.52;0.62;17:30:23 14.06.2021;2.18;2.79;-0.91;-1.12;-3.76;-4.47;;Long Short
Partners Group;CH0024608827;1395;1387.5;1386.5;1396.5;7.50;0.54;17:30:23 14.06.2021;276;25.02;391.6;39.66;546;65.55;;Long Short
Richemont;CH0210483332;115.1;114.6;114.65;115.55;0.50;0.44;17:30:23 14.06.2021;25.94;29.03;39.52;52.15;50.34;77.49;;Long Short
Roche;CH0012032048;341.7;342;340.3;343.85;-0.30;-0.09;17:30:23 14.06.2021;24;7.84;23.75;7.76;-3.2;-0.96;;Long Short
SGS SA;CH0002497458;2817;2805;2805;2826;12.00;0.43;17:30:23 14.06.2021;129;4.83;174;6.63;506;22.06;;Long Short
Sika;CH0418792922;293.8;294.1;292.6;296.1;-0.30;-0.10;17:30:23 14.06.2021;35.2;13.68;65.2;28.67;120.3;69.82;;Long Short
Swatch (I;CH0012255151;322.5;326.3;322.1;327.7;-3.80;-1.16;17:30:23 14.06.2021;47;16.48;99.3;42.64;129.1;63.56;;Long Short
Swiss Life;CH0014852781;457.3;457;456.4;459.3;0.30;0.07;17:30:23 14.06.2021;1.9;0.42;55.9;13.85;93.29;25.47;;Long Short
Swiss Re;CH0126881561;84.8;84.48;84.46;85.14;0.32;0.38;17:30:23 14.06.2021;-6.52;-7.14;2.78;3.39;7.36;9.50;;Long Short
Swisscom;CH0008742519;525;523;523.2;525.8;2.00;0.38;17:30:23 14.06.2021;46.8;9.89;41.3;8.63;13.8;2.73;;Long Short
UBS;CH0244767585;14.62;14.58;14.54;14.68;0.04;0.24;17:30:23 14.06.2021;0.21;1.41;1.84;14.23;3.67;33.12;;Long Short
Zurich Insurance;CH0011075394;371.5;370.2;370.3;372.9;1.30;0.35;17:30:23 14.06.2021;-23.7;-5.97;9.5;2.61;31.9;9.35;;Long Short
